,BC,CC,DC,EC,S+,S-,C
0,0.05921058038430022,0.005988587385804353,0.01600329230476003,6.783592344540404e-06,0.14034886030762272,0.06139487014423154,0.30432108104040095
1,1.1264020770292202e-06,0.0044299033364601035,0.0007840229659392521,1.2090692269896218e-07,0.20109779425319585,0.0015903320307332732,0.007846202241297093
2,3.073734866495816e-08,0.00442789703965917,0.00046118997996426585,4.466921874382395e-08,0.20117524910741405,0.00146672680402368,0.007238020639241572
3,6.819526815296351e-07,0.0044299033364601035,0.0007840229659392521,1.3271296167842108e-07,0.2010982229263104,0.0015903317789845877,0.007846184414787986
4,7.447896022662938e-08,0.00442789703965917,0.00046118997996426585,4.472831405778722e-08,0.2011752068186616,0.0014667268055943929,0.007238022157418002
5,8.927623512879833e-07,0.004428756658575819,0.0005995469739535457,2.3666442236870434e-07,0.2011415998313023,0.001512516540228321,0.007463537219522294
6,9.930528030217252e-09,0.004426751400062882,0.0002767139879785595,4.341808339032253e-08,0.20121913919338638,0.0014244141442164519,0.007029160912133174
7,6.89204644297939e-05,0.004656884638335066,0.0009223799599285317,5.1370202496449785e-06,0.20099550836929156,0.0018569638291905796,0.009154257816358398
8,1.1171844033994405e-07,0.004427324145747971,0.0003689519839714127,4.3947492669660576e-08,0.20119708588581067,0.0014427796829144203,0.0071199202529331675
9,6.659093982419052e-06,0.004441402858392637,0.0026287828857963157,4.428233248972188e-07,0.20066530184900605,0.002947436594210823,0.014475698410356572
10,2.0181530598753023e-08,0.00442789703965917,0.00046118997996426585,1.541713408818525e-07,0.20117524892509422,0.001466726811262918,0.007238020681219425
11,0.0,0.004425320183961988,4.611899799642659e-05,4.206246660691934e-08,0.2012742105517323,0.0014041937710938899,0.006928186433011826
12,0.0,0.004425320183961988,4.611899799642659e-05,4.206246660691934e-08,0.2012742105517323,0.0014041937710938899,0.006928186433011826
13,7.131982938573175e-07,0.004433921389372993,0.0014296889378892243,2.2075810951971466e-07,0.2009468764807292,0.0019774367195483857,0.009744700811660456
14,2.259410073368585e-07,0.004429329923304131,0.0006917849699463988,4.611135858865069e-08,0.20112044738961837,0.0015491680753035684,0.007643810206822534
15,0.0,0.004425320183961988,4.611899799642659e-05,4.206246660691934e-08,0.2012742105517323,0.0014041937710938899,0.006928186433011826
16,8.085765548973636e-08,0.004427610574171711,0.0004150709819678393,5.233027184234924e-08,0.2011861524379267,0.001454071274036679,0.007175630027449649
17,1.6619842050571923e-07,0.004428756658575819,0.0005995469739535457,4.55483405970403e-08,0.201142320414207,0.0015125162680533909,0.007463509348285841
18,0.0,0.004425320183961988,4.611899799642659e-05,4.206246660691934e-08,0.2012742105517323,0.0014041937710938899,0.006928186433011826
19,2.0489989502348263e-06,0.004429616611325057,0.0007379039679428254,4.62981842372057e-08,0.20110779189720054,0.001569208489194033,0.007742410269554057
20,2.7494343434310913e-07,0.004429329923304131,0.0006917849699463988,4.607775148224378e-08,0.20112040001139453,0.001549168083224418,0.00764381203250588
21,0.00037962214829783916,0.00467118808579429,0.0029977348697677285,5.193151092907933e-06,0.20021611876407758,0.003402775296896581,0.01671149090848913
22,2.7127312868053955e-07,0.004428183542217544,0.0005073089779606925,2.0730841101156364e-07,0.20116405862518177,0.0014807113417765016,0.0073069309512302505
23,2.7764101284482398e-06,0.0044299033364601035,0.0007840229659392521,4.6557119109349306e-08,0.20109620571077932,0.0015903340514485825,0.007846273626823998
24,5.5337079311240374e-08,0.004429616611325057,0.0007379039679428254,4.9751273763033554e-08,0.20110971938441524,0.0015692071525314245,0.007742330094911823
25,2.180578384189345e-05,0.004444864366108471,0.0031822108617534347,4.1840954819817585e-07,0.20052561490064869,0.003444209285583792,0.016885876620843156
26,7.83278865024319e-06,0.004444575701063264,0.0031360918637570083,4.667242156488263e-07,0.20054952119222205,0.003402087852454136,0.016680858113303235
27,1.2413160037771563e-08,0.0044264650827871505,0.00023059498998213293,7.70009867376219e-08,0.20123012600289386,0.0014173948543371767,0.006994385365986085
28,1.5427963740451695e-07,0.004428756658575819,0.0005995469739535457,4.552656301318287e-08,0.2011423319395296,0.0015125162667900351,0.007463508917635994
29,5.647569570413464e-07,0.004428756658575819,0.0005995469739535457,5.855326623097467e-08,0.20114193384820225,0.0015125163648068395,0.007463524058894542
30,5.542269437085627e-07,0.0044299033364601035,0.0007840229659392521,1.925824088021162e-07,0.2010983407594896,0.001590331735466403,0.007846179640384093
31,1.9962592659404647e-06,0.004431624467070655,0.0010607369539178116,2.906059111009965e-07,0.20103185036811078,0.001737515014356118,0.008568922682569868
32,0.0,0.004426751400062882,0.0002767139879785595,4.3453120042769126e-08,0.20121914878738842,0.001424414144182904,0.007029160579178626
33,0.0,0.004425606353140982,9.223799599285318e-05,4.232542426126966e-08,0.20126317826970852,0.0014052369425214197,0.006933675092144409
34,0.001457779196607439,0.005140657751443862,0.00023059498998213293,8.148369095359752e-07,0.19981088029923016,0.002579062879065557,0.01274303870323007
35,0.0,0.004425606353140982,9.223799599285318e-05,4.2342805706081005e-08,0.20126317826806062,0.0014052369425219433,0.006933675092203352
36,1.1033920033574722e-08,0.004428183542217544,0.0005073089779606925,4.7121162195898346e-08,0.2011643253954245,0.0014807113032059408,0.007306921143141663
37,0.0,0.004425320183961988,4.611899799642659e-05,4.206246660691934e-08,0.2012742105517323,0.0014041937710938899,0.006928186433011826
38,2.972340343330142e-07,0.004427610574171711,0.0004150709819678393,1.4438227161346097e-07,0.20118593455693362,0.0014540713083946544,0.00717563791110927
39,3.8643690818769913e-07,0.004429329923304131,0.0006917849699463988,9.738616777659228e-08,0.201120287338266,0.0015491681093999174,0.007643816410213573
40,5.583319430081503e-06,0.004437658970624571,0.00202923591184277,3.5703936340980565e-07,0.20080340381886724,0.0024370778568432523,0.011991104512002889
41,1.891292707469233e-06,0.004431911452206459,0.001106855951914238,4.8601940627618156e-08,0.20102116209780166,0.0017650724886532213,0.008704104064325476
42,0.0,0.004425606353140982,9.223799599285318e-05,4.232542426126966e-08,0.20126317826970852,0.0014052369425214197,0.006933675092144409
43,0.0,0.004425320183961988,4.611899799642659e-05,4.206246660691934e-08,0.2012742105517323,0.0014041937710938899,0.006928186433011826
44,0.0,0.004426751400062882,0.0002767139879785595,4.353226341768846e-08,0.20121914877988334,0.0014244141441853205,0.007029160579450798
45,1.22396458582226e-07,0.004428470081854027,0.000553427975957119,1.545772971331317e-07,0.20115327499354932,0.0014959875129345534,0.007382151281634634
46,0.0,0.0044264650827871505,0.00023059498998213293,4.320759028238736e-08,0.20123014120330013,0.0014173948528498205,0.006994384834055354
47,0.0,0.004425606353140982,9.223799599285318e-05,4.25152908107932e-08,0.20126317825170767,0.0014052369425271512,0.006933675092788336
